taxonID,Scientific.Name.with.Author,Common.Name,Genus,Family,jenkins_model
ABBA,Abies balsamea (L.) Mill.,balsam fir,Abies,Pinaceae,fir/hemlock
ACER,Acer L.,maple,Acer,Aceraceae,soft maple/birch
ACNE2,Acer negundo L.,boxelder,Acer,Aceraceae,soft maple/birch
ACPE,Acer pensylvanicum L.,striped maple,Acer,Aceraceae,soft maple/birch
ACBA2,Acer barbatum Michx. p.p.,southern sugar maple,Acer,Aceraceae,soft maple/birch
ACRU,Acer rubrum L.,red maple,Acer,Aceraceae,soft maple/birch
ACRUR,Acer rubrum L. var. rubrum,red maple,Acer,Aceraceae,soft maple/birch
ACSA2,Acer saccharinum L.,silver maple,Acer,Aceraceae,soft maple/birch
ACSA3,Acer saccharum Marshall,sugar maple,Acer,Aceraceae,hard maple/oak/hickory/beech
ACSAS,Acer saccharum ,sugar maple,Acer,Aceraceae,hard maple/oak/hickory/beech
ACSP2,Acer spicatum Lam.,mountain maple,Acer,Aceraceae,soft maple/birch
AEFL,Aesculus flava Aiton,yellow buckeye,Aesculus,Hippocastanaceae,mixed hardwood
AEPA,Aesculus pavia L.,red buckeye,Aesculus,Hippocastanaceae,mixed hardwood
ALINR,Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen,speckled alder,Alnus,Betulaceae,aspen/alder/cottonwood/willow
AMAR3,Amelanchier arborea (Michx. f.) Fernald,common serviceberry,Amelanchier,Rosaceae,woodland
AMELA,Amelanchier Medik.,serviceberry,Amelanchier,Rosaceae,woodland
AMLA,Amelanchier laevis Wiegand,Allegheny serviceberry,Amelanchier,Rosaceae,woodland
AMSA,Amelanchier sanguinea (Pursh) DC.,roundleaf serviceberry,Amelanchier,Rosaceae,woodland
ARSP2,Aralia spinosa L.,devil's walkingstick,Aralia,Araliaceae,mixed hardwood
ASIN12,Asimina incana (W. Bartram) Exell,woolly pawpaw,Asimina,Annonaceae,mixed hardwood
ASTR,Asimina triloba (L.) Dunal,pawpaw,Asimina,Annonaceae,mixed hardwood
BEAL2,Betula alleghaniensis Britton,yellow birch,Betula,Betulaceae,soft maple/birch
BELE,Betula lenta L.,sweet birch,Betula,Betulaceae,soft maple/birch
BENI,Betula nigra L.,river birch,Betula,Betulaceae,soft maple/birch
BEPA,Betula papyrifera Marshall,paper birch,Betula,Betulaceae,soft maple/birch
BEPAC2,Betula papyrifera Marshall var. cordifolia (Regel) Fernald,mountain paper birch,Betula,Betulaceae,soft maple/birch
BEPAP,Betula papyrifera Marshall var. papyrifera,paper birch,Betula,Betulaceae,soft maple/birch
BEPO,Betula populifolia Marshall,gray birch,Betula,Betulaceae,soft maple/birch
BETUL,Betula L.,birch,Betula,Betulaceae,soft maple/birch
CAAM2,Callicarpa americana L.,American beautyberry,Callicarpa,Verbenaceae,woodland
CAAQ2,Carya aquatica (Michx. f.) Nutt.,water hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CACA18,Carpinus caroliniana Walter,American hornbeam,Carpinus,Betulaceae,mixed hardwood
CACO15,Carya cordiformis (Wangenh.) K. Koch,bitternut hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CADE12,Castanea dentata (Marshall) Borkh.,American chestnut,Castanea,Fagaceae,mixed hardwood
CAFL22,Calycanthus floridus L.,eastern sweetshrub,Calycanthus,Calycanthaceae,woodland
CAGL8,Carya glabra (Mill.) Sweet,pignut hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CAOV2,Carya ovata (Mill.) K. Koch,shagbark hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CAOV3,Carya ovalis (Wangenh.) Sarg.,red hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CAPA24,Carya pallida (Ashe) Engl. & Graebn.,sand hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CARYA,Carya Nutt.,hybrid hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CATO6,Carya tomentosa (Lam.) Nutt.,mockernut hickory,Carya,Juglandaceae,hard maple/oak/hickory/beech
CECA4,Cercis canadensis L.,eastern redbud,Cercis,Fabaceae,mixed hardwood
CECAC,Cercis canadensis L. var. canadensis,eastern redbud,Cercis,Fabaceae,mixed hardwood
CELA,Celtis laevigata Willd.,sugarberry,Celtis,Ulmaceae,mixed hardwood
CELTI,Celtis L.,hackberry,Celtis,Ulmaceae,mixed hardwood
CEOC,Celtis occidentalis L.,common hackberry,Celtis,Ulmaceae,mixed hardwood
CLAC3,Clethra acuminata Michx.,mountain sweetpepperbush,Clethra,Clethraceae,woodland
CLETH,Clethra L.,sweetpepperbush,Clethra,Clethraceae,woodland
COAM2,Cornus amomum Mill.,silky dogwood,Cornus,Cornaceae,woodland
COCO6,Corylus cornuta Marshall,beaked hazelnut,Corylus,Betulaceae,woodland
COFL2,Cornus florida L.,flowering dogwood,Cornus,Cornaceae,mixed hardwood
COFO,Cornus foemina Mill.,stiff dogwood,Cornus,Cornaceae,mixed hardwood
CORNU,Cornus L.,dogwood,Cornus,Cornaceae,mixed hardwood
CRATA,Crataegus L.,hawthorn,Crataegus,Rosaceae,woodland
DIVI5,Diospyros virginiana L.,common persimmon,Diospyros,Ebenaceae,mixed hardwood
ELUM,Elaeagnus umbellata Thunb.,autumn olive,Elaeagnus,Elaeagnaceae,woodland
FAGR,Fagus grandifolia Ehrh.,American beech,Fagus,Fagaceae,hard maple/oak/hickory/beech
FRAM2,Fraxinus americana L.,white ash,Fraxinus,Oleaceae,mixed hardwood
FRAXI,Fraxinus L.,ash,Fraxinus,Oleaceae,mixed hardwood
FRCA13,Frangula caroliniana (Walter) A. Gray,Carolina buckthorn,Frangula,Rhamnaceae,mixed hardwood
FRNI,Fraxinus nigra Marshall,black ash,Fraxinus,Oleaceae,mixed hardwood
FRPE,Fraxinus pennsylvanica Marshall,green ash,Fraxinus,Oleaceae,mixed hardwood
GAUR,Gaylussacia ursina (M.A. Curtis) Torr. & A. Gray ex A. Gray,bear huckleberry,Gaylussacia,Ericaceae,woodland
HADI3,Halesia diptera Ellis,two-wing silverbell,Halesia,Styracaceae,mixed hardwood
HATE3,Halesia tetraptera Ellis,mountain silverbell,Halesia,Styracaceae,mixed hardwood
ILEX,Ilex L.,holly,Ilex,Aquifoliaceae,pine
ILMO,Ilex montana Torr. & A. Gray ex A. Gray,mountain holly,Ilex,Aquifoliaceae,pine
ILMU,"Ilex mucronata (L.) Powell, Savolainen & Andrews",catberry,Ilex,Aquifoliaceae,pine
ILOP,Ilex opaca Aiton,American holly,Ilex,Aquifoliaceae,pine
ILVE,Ilex verticillata (L.) A. Gray,common winterberry,Ilex,Aquifoliaceae,pine
ILVO,Ilex vomitoria Aiton,yaupon,Ilex,Aquifoliaceae,pine
JUCI,Juglans cinerea L.,butternut,Juglans,Juglandaceae,mixed hardwood
JUNI,Juglans nigra L.,black walnut,Juglans,Juglandaceae,mixed hardwood
JUVI,Juniperus virginiana L.,eastern redcedar,Juniperus,Cupressaceae,cedar/larch
KALA,Kalmia latifolia L.,mountain laurel,Kalmia,Ericaceae,woodland
KALMI,Kalmia L.,laurel,Kalmia,Ericaceae,woodland
LALA,Larix laricina (Du Roi) K. Koch,tamarack,Larix,Pinaceae,pine
LIBE3,Lindera benzoin (L.) Blume,northern spicebush,Lindera,Lauraceae,woodland
LIST2,Liquidambar styraciflua L.,sweetgum,Liquidambar,Hamamelidaceae,mixed hardwood
LITU,Liriodendron tulipifera L.,tuliptree,Liriodendron,Magnoliaceae,mixed hardwood
